PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0157,45+,Female,Master’s/PhD,Education/Academic,Europe-North,Liberal,High,Neutral,Neutral / not very worried,Neutral,Medium
P0441,25-34,Female,Master’s/PhD,Education/Academic,US Northeast,Conservative,Very low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0709,25-34,Male,Bachelor’s,Environmental/NGO,US Midwest,Centrist,Very low,Slightly disagree,Not worried at all,Not oriented to action,Medium
P0708,25-34,Male,Bachelor’s,Manufacturing/Industrial,US West,Centrist,Very high,Slightly disagree,Somewhat worried,Neutral,High
P0704,35-44,Male,Bachelor’s,Construction/Outdoor,US Northeast,Moderate Conservative,High,Neutral,Somewhat not worried,Not oriented to action,Medium
P0596,45+,Female,Bachelor’s,Farming/Agriculture,US South,Centrist,High,Slightly agree,Not worried at all,Somewhat inactive,Medium
P0417,25-34,Other/Non-binary,High School or less,Service/Office,Global South,Moderate Liberal,Low,Slightly agree,Very worried,Neutral,Low
P0871,35-44,Female,Bachelor’s,Manufacturing/Industrial,US West,Centrist,Moderate,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0897,45+,Other/Non-binary,Bachelor’s,Education/Academic,US South,Conservative,Moderate,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0083,45+,Female,High School or less,Tech/IT,Europe-North,Moderate Conservative,Very high,Neutral,Somewhat not worried,Somewhat inactive,Medium
P0764,35-44,Female,Master’s/PhD,Service/Office,US Midwest,Liberal,High,Strongly agree,Somewhat worried,Neutral,Low
P0477,25-34,Female,Master’s/PhD,Manufacturing/Industrial,Other,Moderate Liberal,Very low,Strongly agree,Very worried,Neutral,Low
P0832,35-44,Male,Bachelor’s,Service/Office,US Northeast,Moderate Conservative,Moderate,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0823,45+,Male,High School or less,Service/Office,US Northeast,Liberal,Low,Strongly agree,Somewhat worried,Neutral,Low
