PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Belief_HumanContribution,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0868,35-44,Other/Non-binary,High School or less,Service/Office,Other,Conservative,Low,Strongly disagree,Strongly agree,Somewhat worried,Neutral,High
P0323,35-44,Female,High School or less,Construction/Outdoor,US Midwest,Moderate Conservative,Low,Strongly agree,Neutral,Very worried,Somewhat inactive,Low
P0383,35-44,Male,Master’s/PhD,Tech/IT,US West,Moderate Conservative,Very high,Slightly agree,Strongly agree,Somewhat worried,Somewhat inactive,Medium
P0009,18-24,Male,High School or less,Tech/IT,Global South,Moderate Liberal,Very high,Strongly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0597,35-44,Male,Bachelor’s,Public sector,Global South,Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,High
P0969,25-34,Male,High School or less,Public sector,Europe-North,Centrist,Low,Slightly agree,Neutral,Very worried,Neutral,Medium
P0464,45+,Female,Master’s/PhD,Tech/IT,US Midwest,Moderate Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,Low
P0392,35-44,Other/Non-binary,Bachelor’s,Farming/Agriculture,US Midwest,Liberal,Very high,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0869,25-34,Female,Bachelor’s,Construction/Outdoor,Global South,Moderate Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,Medium
P0097,35-44,Male,Bachelor’s,Service/Office,Other,Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0069,35-44,Male,High School or less,Environmental/NGO,US West,Centrist,Very low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0403,45+,Male,Bachelor’s,Farming/Agriculture,US West,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0607,25-34,Female,High School or less,Tech/IT,Global South,Centrist,Moderate,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0827,35-44,Female,Master’s/PhD,Service/Office,US Northeast,Moderate Conservative,Low,Strongly disagree,Slightly disagree,Very worried,Neutral,Medium
P0565,25-34,Female,High School or less,Tech/IT,Global South,Moderate Liberal,Low,Strongly agree,Strongly agree,Neutral / not very worried,Neutral,Medium
P0526,25-34,Other/Non-binary,High School or less,Construction/Outdoor,US West,Conservative,Low,Strongly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0971,35-44,Female,High School or less,Service/Office,US Midwest,Liberal,Very low,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0489,18-24,Male,Master’s/PhD,Construction/Outdoor,US West,Conservative,Moderate,Slightly agree,Slightly agree,Neutral / not very worried,Neutral,Medium
P0154,45+,Female,High School or less,Environmental/NGO,US West,Moderate Conservative,Moderate,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0224,18-24,Female,Bachelor’s,Environmental/NGO,US Midwest,Moderate Conservative,Low,Slightly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0265,18-24,Female,Master’s/PhD,Tech/IT,Other,Liberal,High,Neutral,Slightly agree,Somewhat worried,Somewhat inactive,High
P0206,35-44,Female,High School or less,Farming/Agriculture,US South,Conservative,Moderate,Slightly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0947,45+,Female,High School or less,Service/Office,US Northeast,Moderate Conservative,Low,Slightly agree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0119,25-34,Female,Master’s/PhD,Tech/IT,Global South,Moderate Conservative,Moderate,Neutral,Slightly agree,Somewhat worried,Neutral,Medium
P0805,45+,Female,Bachelor’s,Farming/Agriculture,Europe-North,Conservative,High,Strongly agree,Strongly disagree,Very worried,Somewhat inactive,Medium
P0845,25-34,Female,Bachelor’s,Farming/Agriculture,Global South,Conservative,Very high,Neutral,Slightly agree,Very worried,Neutral,Medium
P0221,35-44,Male,High School or less,Service/Office,US Northeast,Moderate Liberal,Very high,Strongly agree,Slightly agree,Not worried at all,Somewhat inactive,Medium
P0814,45+,Male,High School or less,Tech/IT,US South,Liberal,Low,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0547,35-44,Female,High School or less,Farming/Agriculture,Global South,Centrist,Very low,Slightly disagree,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0946,45+,Female,Master’s/PhD,Manufacturing/Industrial,US Midwest,Moderate Conservative,Moderate,Slightly agree,Slightly agree,Somewhat worried,Somewhat inactive,Low
P0499,18-24,Male,Bachelor’s,Manufacturing/Industrial,US West,Conservative,High,Slightly disagree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0734,45+,Male,Bachelor’s,Tech/IT,US West,Centrist,Very high,Slightly agree,Neutral,Somewhat not worried,Not oriented to action,Low
P0263,25-34,Female,Master’s/PhD,Farming/Agriculture,Other,Centrist,Moderate,Strongly disagree,Strongly disagree,Very worried,Somewhat inactive,Medium
P0004,45+,Male,Bachelor’s,Education/Academic,Europe-North,Conservative,Moderate,Slightly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0855,35-44,Male,Master’s/PhD,Tech/IT,Other,Moderate Liberal,Very high,Strongly agree,Strongly agree,Neutral / not very worried,Neutral,Medium
P0723,35-44,Female,High School or less,Service/Office,Europe-North,Moderate Liberal,Moderate,Slightly disagree,Neutral,Very worried,Somewhat inactive,Low
P0645,35-44,Female,Bachelor’s,Tech/IT,Global South,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,Medium
P0428,25-34,Female,Master’s/PhD,Construction/Outdoor,US Northeast,Conservative,Low,Strongly disagree,Slightly disagree,Very worried,Neutral,Medium
P0573,45+,Female,High School or less,Education/Academic,US West,Centrist,High,Slightly agree,Slightly agree,Somewhat worried,Neutral,Low
P0702,25-34,Male,High School or less,Public sector,US South,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Very worried,Neutral,Low
P0850,45+,Female,Bachelor’s,Service/Office,US Midwest,Moderate Conservative,Very low,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0550,35-44,Male,Master’s/PhD,Public sector,US West,Moderate Liberal,High,Neutral,Neutral,Neutral / not very worried,Somewhat inactive,Low
P0423,18-24,Female,Bachelor’s,Manufacturing/Industrial,US Northeast,Centrist,Very high,Slightly agree,Strongly agree,Very worried,Neutral,Low
P0899,25-34,Other/Non-binary,Bachelor’s,Service/Office,US West,Moderate Conservative,Moderate,Strongly disagree,Neutral,Neutral / not very worried,Somewhat inactive,High
P0965,18-24,Female,Bachelor’s,Education/Academic,Europe-North,Liberal,Moderate,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0727,35-44,Female,High School or less,Service/Office,Global South,Liberal,High,Neutral,Strongly agree,Neutral / not very worried,Somewhat inactive,High
P0387,35-44,Female,Bachelor’s,Tech/IT,US Northeast,Moderate Conservative,Moderate,Neutral,Slightly agree,Somewhat worried,Neutral,Medium
P0945,18-24,Other/Non-binary,Master’s/PhD,Service/Office,Global South,Liberal,Moderate,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0972,25-34,Male,Bachelor’s,Construction/Outdoor,US West,Centrist,High,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0716,35-44,Female,Master’s/PhD,Manufacturing/Industrial,US Northeast,Moderate Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,Medium
P0438,45+,Male,Bachelor’s,Service/Office,Other,Conservative,Very low,Neutral,Strongly disagree,Very worried,Somewhat inactive,High
P0889,25-34,Female,High School or less,Service/Office,Europe-North,Moderate Liberal,Low,Strongly agree,Slightly agree,Very worried,Neutral,Low
P0093,35-44,Male,Master’s/PhD,Manufacturing/Industrial,US Midwest,Centrist,Very high,Neutral,Strongly agree,Very worried,Neutral,Low
P0651,25-34,Female,Bachelor’s,Manufacturing/Industrial,Global South,Moderate Liberal,Very low,Slightly agree,Slightly agree,Somewhat worried,Neutral,Low
P0460,25-34,Female,High School or less,Service/Office,US South,Moderate Conservative,Low,Slightly disagree,Slightly agree,Not worried at all,Not oriented to action,Medium
P0280,35-44,Female,Master’s/PhD,Education/Academic,US West,Centrist,Moderate,Slightly agree,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0043,25-34,Male,Bachelor’s,Construction/Outdoor,US South,Moderate Conservative,Moderate,Strongly agree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0634,35-44,Female,High School or less,Farming/Agriculture,Global South,Centrist,High,Neutral,Slightly agree,Not worried at all,Somewhat inactive,High
P0863,45+,Other/Non-binary,Master’s/PhD,Public sector,US South,Moderate Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0921,18-24,Female,Master’s/PhD,Public sector,Other,Moderate Conservative,High,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0860,45+,Other/Non-binary,High School or less,Tech/IT,US Northeast,Liberal,Low,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0171,45+,Other/Non-binary,High School or less,Education/Academic,US Northeast,Moderate Conservative,Low,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0467,25-34,Male,High School or less,Construction/Outdoor,Global South,Moderate Liberal,High,Strongly agree,Slightly agree,Somewhat worried,Neutral,Medium
P0446,18-24,Female,Bachelor’s,Construction/Outdoor,US West,Moderate Liberal,Moderate,Slightly disagree,Neutral,Neutral / not very worried,Somewhat inactive,High
P0070,25-34,Female,Bachelor’s,Education/Academic,US South,Centrist,Very low,Slightly agree,Slightly disagree,Very worried,Somewhat inactive,Low
P0743,35-44,Female,Bachelor’s,Tech/IT,US South,Conservative,High,Strongly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Low
P0203,25-34,Male,High School or less,Construction/Outdoor,US Midwest,Moderate Liberal,Moderate,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0125,45+,Male,Master’s/PhD,Construction/Outdoor,US West,Conservative,High,Neutral,Strongly agree,Very worried,Neutral,High
P0853,25-34,Male,Bachelor’s,Education/Academic,US South,Moderate Conservative,Very low,Neutral,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0667,25-34,Female,Master’s/PhD,Education/Academic,Europe-North,Moderate Conservative,Moderate,Neutral,Strongly agree,Very worried,Neutral,High
P0126,35-44,Male,Master’s/PhD,Service/Office,US Northeast,Conservative,Moderate,Slightly disagree,Neutral,Very worried,Neutral,Medium
P0914,25-34,Female,High School or less,Education/Academic,Global South,Moderate Conservative,Low,Strongly disagree,Strongly agree,Neutral / not very worried,Neutral,Low
P0812,25-34,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,Very high,Strongly disagree,Strongly agree,Very worried,Neutral,Low
P0857,35-44,Male,Bachelor’s,Service/Office,US Midwest,Moderate Liberal,Moderate,Neutral,Slightly disagree,Very worried,Somewhat inactive,Low
P0227,45+,Other/Non-binary,Bachelor’s,Farming/Agriculture,Other,Moderate Conservative,Very low,Strongly disagree,Strongly disagree,Very worried,Somewhat inactive,Low
P0666,18-24,Female,Master’s/PhD,Tech/IT,Europe-North,Moderate Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0745,45+,Male,Bachelor’s,Service/Office,Other,Moderate Conservative,Low,Strongly disagree,Neutral,Somewhat worried,Somewhat inactive,Medium
P0294,45+,Male,High School or less,Service/Office,Europe-North,Moderate Conservative,Moderate,Neutral,Slightly agree,Somewhat worried,Neutral,High
P0870,35-44,Male,Master’s/PhD,Farming/Agriculture,US West,Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,High
P0207,45+,Female,Master’s/PhD,Construction/Outdoor,US South,Conservative,High,Neutral,Slightly disagree,Not worried at all,Not oriented to action,Medium
P0995,25-34,Other/Non-binary,Master’s/PhD,Education/Academic,Other,Centrist,High,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0512,35-44,Female,High School or less,Farming/Agriculture,US South,Liberal,Moderate,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0159,18-24,Male,High School or less,Tech/IT,US West,Moderate Conservative,Very low,Slightly disagree,Slightly disagree,Very worried,Somewhat inactive,High
P0459,45+,Female,Bachelor’s,Tech/IT,Global South,Centrist,High,Neutral,Strongly agree,Neutral / not very worried,Somewhat inactive,Low
P0704,35-44,Male,Bachelor’s,Construction/Outdoor,US Northeast,Moderate Conservative,High,Neutral,Neutral,Somewhat not worried,Not oriented to action,Medium
P0784,18-24,Female,Master’s/PhD,Manufacturing/Industrial,Global South,Moderate Liberal,Moderate,Slightly agree,Slightly agree,Somewhat worried,Neutral,Medium
P0979,35-44,Female,High School or less,Tech/IT,Other,Conservative,Moderate,Slightly agree,Neutral,Very worried,Somewhat inactive,Medium
P0090,35-44,Male,Master’s/PhD,Construction/Outdoor,US West,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0034,35-44,Male,Bachelor’s,Manufacturing/Industrial,Global South,Liberal,Low,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0738,35-44,Female,High School or less,Construction/Outdoor,Europe-North,Moderate Conservative,High,Neutral,Neutral,Somewhat not worried,Somewhat inactive,Low
P0169,18-24,Male,Bachelor’s,Manufacturing/Industrial,US Midwest,Moderate Conservative,Low,Neutral,Slightly disagree,Very worried,Somewhat inactive,Low
P0193,18-24,Female,Bachelor’s,Tech/IT,Europe-North,Centrist,Moderate,Slightly agree,Strongly agree,Somewhat worried,Neutral,High
P0997,45+,Male,Master’s/PhD,Education/Academic,US West,Liberal,Very high,Strongly agree,Slightly agree,Somewhat worried,Neutral,High
P0835,25-34,Female,High School or less,Service/Office,US South,Conservative,Very low,Slightly disagree,Strongly agree,Somewhat not worried,Somewhat inactive,High
P0172,35-44,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,High,Slightly disagree,Strongly agree,Very worried,Neutral,High
P0865,25-34,Male,Bachelor’s,Tech/IT,Europe-North,Conservative,High,Slightly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0076,35-44,Male,Bachelor’s,Tech/IT,Global South,Conservative,Moderate,Slightly disagree,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0407,45+,Female,High School or less,Manufacturing/Industrial,Other,Moderate Conservative,Low,Slightly disagree,Slightly agree,Very worried,Neutral,Medium
P0772,35-44,Male,High School or less,Public sector,Europe-North,Moderate Conservative,Very high,Neutral,Strongly agree,Somewhat worried,Neutral,Medium
P0399,35-44,Male,Bachelor’s,Education/Academic,US West,Conservative,High,Neutral,Slightly agree,Neutral / not very worried,Somewhat inactive,Medium
P0580,45+,Female,Master’s/PhD,Environmental/NGO,Other,Moderate Liberal,Moderate,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0599,45+,Male,Master’s/PhD,Education/Academic,US Midwest,Conservative,Moderate,Strongly disagree,Strongly agree,Very worried,Neutral,Medium
P0932,18-24,Female,Bachelor’s,Environmental/NGO,US Northeast,Liberal,Low,Strongly agree,Neutral,Somewhat worried,Neutral,Medium
P0237,18-24,Male,Master’s/PhD,Tech/IT,US West,Conservative,High,Slightly agree,Strongly agree,Very worried,Neutral,Medium
P0529,45+,Male,Master’s/PhD,Farming/Agriculture,US South,Moderate Conservative,High,Slightly disagree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0603,35-44,Male,Bachelor’s,Environmental/NGO,Global South,Liberal,Very high,Slightly agree,Strongly agree,Somewhat worried,Neutral,Low
P0552,35-44,Female,High School or less,Education/Academic,Global South,Liberal,Very high,Slightly agree,Strongly agree,Very worried,Neutral,High
P0062,45+,Other/Non-binary,High School or less,Tech/IT,Europe-North,Moderate Conservative,Very low,Slightly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0755,45+,Male,High School or less,Construction/Outdoor,US Midwest,Centrist,Very low,Strongly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0140,45+,Male,Master’s/PhD,Service/Office,US Midwest,Conservative,High,Strongly disagree,Strongly agree,Very worried,Neutral,Medium
P0640,45+,Female,High School or less,Construction/Outdoor,US West,Moderate Conservative,Very low,Slightly agree,Strongly disagree,Neutral / not very worried,Not oriented to action,Medium
P0014,45+,Male,High School or less,Service/Office,Global South,Liberal,High,Strongly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0537,18-24,Female,High School or less,Service/Office,Global South,Moderate Liberal,Very high,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0196,45+,Female,Master’s/PhD,Education/Academic,US Northeast,Moderate Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0288,25-34,Female,Bachelor’s,Education/Academic,Global South,Moderate Conservative,Moderate,Strongly agree,Strongly agree,Somewhat worried,Neutral,High
P0244,18-24,Female,Bachelor’s,Construction/Outdoor,Other,Centrist,Low,Neutral,Strongly agree,Very worried,Neutral,Low
P0413,18-24,Other/Non-binary,High School or less,Service/Office,Global South,Liberal,Low,Strongly agree,Neutral,Somewhat not worried,Not oriented to action,Medium
P0201,45+,Male,High School or less,Environmental/NGO,US West,Moderate Liberal,Very low,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,High
P0293,25-34,Female,High School or less,Environmental/NGO,Europe-North,Moderate Liberal,Moderate,Strongly agree,Strongly agree,Somewhat worried,Neutral,Medium
P0641,18-24,Female,High School or less,Construction/Outdoor,US West,Conservative,Moderate,Neutral,Neutral,Very worried,Neutral,Medium
P0240,18-24,Female,Bachelor’s,Service/Office,Europe-North,Moderate Conservative,Very low,Slightly disagree,Strongly agree,Very worried,Neutral,Medium
P0168,35-44,Male,Master’s/PhD,Manufacturing/Industrial,Other,Centrist,High,Slightly disagree,Neutral,Somewhat worried,Neutral,High
P0395,35-44,Male,Bachelor’s,Tech/IT,Europe-North,Centrist,Moderate,Neutral,Strongly agree,Somewhat worried,Neutral,Medium
P0102,25-34,Female,High School or less,Farming/Agriculture,Global South,Moderate Liberal,Low,Slightly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0038,35-44,Female,High School or less,Education/Academic,Global South,Moderate Conservative,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0194,35-44,Male,Master’s/PhD,Farming/Agriculture,Global South,Moderate Conservative,Moderate,Strongly disagree,Strongly agree,Very worried,Neutral,High
P0096,35-44,Male,Bachelor’s,Environmental/NGO,US Northeast,Moderate Conservative,Low,Neutral,Neutral,Not worried at all,Not oriented to action,High
P0720,18-24,Female,Bachelor’s,Service/Office,Other,Conservative,Very low,Neutral,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0713,35-44,Other/Non-binary,Bachelor’s,Manufacturing/Industrial,US South,Centrist,Low,Slightly agree,Strongly disagree,Neutral / not very worried,Not oriented to action,Medium
P0553,25-34,Male,Bachelor’s,Education/Academic,Global South,Conservative,High,Strongly disagree,Strongly agree,Somewhat worried,Neutral,High
P0992,18-24,Male,Bachelor’s,Construction/Outdoor,US Midwest,Centrist,High,Slightly agree,Slightly agree,Very worried,Somewhat inactive,Low
P0210,35-44,Female,High School or less,Tech/IT,Global South,Moderate Conservative,Very high,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0858,25-34,Female,High School or less,Manufacturing/Industrial,US Midwest,Moderate Conservative,Moderate,Strongly disagree,Slightly agree,Very worried,Neutral,High
P0765,18-24,Female,Master’s/PhD,Tech/IT,US South,Centrist,Moderate,Strongly agree,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0705,45+,Female,Bachelor’s,Manufacturing/Industrial,US Northeast,Liberal,Moderate,Slightly agree,Slightly disagree,Somewhat worried,Somewhat inactive,Medium
P0306,45+,Male,High School or less,Education/Academic,US Midwest,Moderate Conservative,Low,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0848,18-24,Female,Bachelor’s,Public sector,US West,Centrist,Very high,Strongly agree,Neutral,Very worried,Neutral,Medium
P0540,18-24,Female,Bachelor’s,Environmental/NGO,Global South,Moderate Liberal,Low,Strongly disagree,Slightly agree,Somewhat not worried,Somewhat inactive,High
P0543,45+,Male,Bachelor’s,Service/Office,US Northeast,Liberal,High,Neutral,Neutral,Somewhat worried,Somewhat inactive,Medium
P0686,18-24,Female,Bachelor’s,Tech/IT,Global South,Conservative,High,Strongly agree,Strongly agree,Very worried,Neutral,High
P0733,35-44,Female,Bachelor’s,Service/Office,US Midwest,Conservative,Very low,Strongly disagree,Strongly agree,Somewhat worried,Neutral,High
P0798,18-24,Female,Master’s/PhD,Tech/IT,US Northeast,Liberal,Very high,Strongly agree,Strongly agree,Very worried,Neutral,Low
