PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0938,18-24,Male,Bachelor’s,Environmental/NGO,US Midwest,Conservative,Very low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0101,25-34,Male,Bachelor’s,Tech/IT,Global South,Conservative,Low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0868,35-44,Other/Non-binary,High School or less,Service/Office,Other,Conservative,Low,Strongly disagree,Somewhat worried,Neutral,High
P0544,45+,Male,Bachelor’s,Tech/IT,US South,Liberal,High,Strongly disagree,Neutral / not very worried,Neutral,Medium
P0687,25-34,Male,Master’s/PhD,Tech/IT,US South,Moderate Conservative,Very low,Strongly disagree,Neutral / not very worried,Somewhat inactive,Low
P0541,35-44,Male,High School or less,Service/Office,Global South,Conservative,High,Strongly disagree,Very worried,Neutral,Medium
P0540,18-24,Female,Bachelor’s,Environmental/NGO,Global South,Moderate Liberal,Low,Strongly disagree,Somewhat not worried,Somewhat inactive,High
P0633,18-24,Male,High School or less,Service/Office,Global South,Moderate Conservative,High,Strongly disagree,Very worried,Neutral,Medium
P0154,45+,Female,High School or less,Environmental/NGO,US West,Moderate Conservative,Moderate,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0428,25-34,Female,Master’s/PhD,Construction/Outdoor,US Northeast,Conservative,Low,Strongly disagree,Very worried,Neutral,Medium
P0381,35-44,Female,Bachelor’s,Farming/Agriculture,US West,Centrist,Moderate,Strongly disagree,Somewhat not worried,Not oriented to action,Medium
P0296,45+,Female,Bachelor’s,Tech/IT,Europe-North,Moderate Conservative,Moderate,Strongly disagree,Somewhat worried,Neutral,Medium
P0431,18-24,Male,High School or less,Public sector,Europe-North,Conservative,Very high,Strongly disagree,Very worried,Neutral,Medium
P0051,35-44,Female,High School or less,Education/Academic,Global South,Centrist,High,Strongly disagree,Somewhat worried,Neutral,Medium
P0292,35-44,Male,Bachelor’s,Farming/Agriculture,Global South,Moderate Conservative,Very high,Strongly disagree,Somewhat worried,Neutral,High
P0210,35-44,Female,High School or less,Tech/IT,Global South,Moderate Conservative,Very high,Strongly disagree,Somewhat worried,Neutral,Medium
P0167,45+,Male,Master’s/PhD,Environmental/NGO,US West,Centrist,Low,Strongly disagree,Somewhat not worried,Not oriented to action,High
P0526,25-34,Other/Non-binary,High School or less,Construction/Outdoor,US West,Conservative,Low,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0194,35-44,Male,Master’s/PhD,Farming/Agriculture,Global South,Moderate Conservative,Moderate,Strongly disagree,Very worried,Neutral,High
P0305,25-34,Female,Bachelor’s,Service/Office,Global South,Conservative,High,Strongly disagree,Very worried,Neutral,Low
P0812,25-34,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,Very high,Strongly disagree,Very worried,Neutral,Low
P0161,35-44,Female,Bachelor’s,Construction/Outdoor,US South,Centrist,High,Strongly disagree,Very worried,Neutral,Medium
P0090,35-44,Male,Master’s/PhD,Construction/Outdoor,US West,Moderate Conservative,Moderate,Strongly disagree,Neutral / not very worried,Somewhat inactive,High
P0569,25-34,Male,High School or less,Manufacturing/Industrial,US West,Conservative,Low,Strongly disagree,Neutral / not very worried,Somewhat inactive,Medium
P0165,45+,Male,Master’s/PhD,Farming/Agriculture,Europe-North,Conservative,High,Strongly disagree,Somewhat worried,Somewhat inactive,High
P0087,45+,Male,Master’s/PhD,Public sector,Global South,Conservative,Very low,Strongly disagree,Somewhat not worried,Somewhat inactive,High
P0914,25-34,Female,High School or less,Education/Academic,Global South,Moderate Conservative,Low,Strongly disagree,Neutral / not very worried,Neutral,Low
P0652,25-34,Male,High School or less,Tech/IT,US South,Conservative,Moderate,Strongly disagree,Somewhat worried,Neutral,Medium
P0177,45+,Male,Master’s/PhD,Farming/Agriculture,US West,Moderate Conservative,Moderate,Strongly disagree,Somewhat worried,Neutral,Low
P0401,18-24,Female,High School or less,Manufacturing/Industrial,Global South,Conservative,Moderate,Strongly disagree,Somewhat not worried,Somewhat inactive,Low
P0441,25-34,Female,Master’s/PhD,Education/Academic,US Northeast,Conservative,Very low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0827,35-44,Female,Master’s/PhD,Service/Office,US Northeast,Moderate Conservative,Low,Strongly disagree,Very worried,Neutral,Medium
P0079,18-24,Female,Master’s/PhD,Service/Office,Europe-North,Conservative,Very high,Strongly disagree,Somewhat worried,Neutral,High
P0406,35-44,Male,High School or less,Construction/Outdoor,US Northeast,Centrist,Very low,Strongly disagree,Very worried,Neutral,Medium
P0843,45+,Female,Bachelor’s,Construction/Outdoor,Europe-North,Conservative,High,Strongly disagree,Somewhat worried,Somewhat inactive,High
P0824,35-44,Male,High School or less,Tech/IT,US Northeast,Conservative,Moderate,Strongly disagree,Very worried,Somewhat inactive,Medium
P0553,25-34,Male,Bachelor’s,Education/Academic,Global South,Conservative,High,Strongly disagree,Somewhat worried,Neutral,High
P0073,45+,Female,High School or less,Education/Academic,US West,Conservative,Low,Strongly disagree,Somewhat worried,Somewhat inactive,Medium
P0313,35-44,Male,Bachelor’s,Service/Office,Europe-North,Conservative,Very high,Strongly disagree,Somewhat worried,Neutral,Low
P0663,25-34,Female,Bachelor’s,Public sector,Europe-North,Conservative,Very high,Strongly disagree,Not worried at all,Somewhat inactive,Medium
