PersonaID,AgeGroup,Gender,EducationLevel,OccupationSector,Region,PoliticalIdeology,Trust_ScienceInstitutions,Belief_ClimateExists,Belief_HumanContribution,Emotional_WorryAboutClimate,BehaviouralOrientation,SocialConnectivity
P0001,35-44,Male,High School or less,Manufacturing/Industrial,Global South,Moderate Conservative,Very low,Strongly agree,Neutral,Very worried,Neutral,Medium
P0002,35-44,Male,High School or less,Tech/IT,Europe-North,Liberal,Moderate,Slightly agree,Strongly agree,Neutral / not very worried,Somewhat inactive,Medium
P0003,25-34,Male,Master’s/PhD,Service/Office,US Northeast,Liberal,Moderate,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0004,45+,Male,Bachelor’s,Education/Academic,Europe-North,Conservative,Moderate,Slightly disagree,Strongly agree,Somewhat worried,Neutral,Medium
P0005,18-24,Male,High School or less,Manufacturing/Industrial,Europe-North,Moderate Liberal,Moderate,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Medium
P0006,35-44,Male,Bachelor’s,Construction/Outdoor,US West,Conservative,Moderate,Slightly disagree,Neutral,Somewhat not worried,Somewhat inactive,Low
P0007,25-34,Male,High School or less,Manufacturing/Industrial,US South,Conservative,Very low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,Low
P0008,35-44,Male,High School or less,Tech/IT,US South,Centrist,Very low,Slightly agree,Slightly agree,Not worried at all,Somewhat inactive,Medium
P0009,18-24,Male,High School or less,Tech/IT,Global South,Moderate Liberal,Very high,Strongly agree,Strongly disagree,Somewhat worried,Somewhat inactive,Low
P0010,45+,Male,Bachelor’s,Tech/IT,Europe-North,Moderate Liberal,Moderate,Strongly agree,Slightly agree,Somewhat worried,Neutral,Low
P0011,45+,Male,Bachelor’s,Construction/Outdoor,Other,Conservative,High,Slightly disagree,Slightly agree,Very worried,Neutral,Low
P0012,35-44,Female,Bachelor’s,Farming/Agriculture,US South,Liberal,Low,Slightly agree,Slightly disagree,Very worried,Somewhat inactive,High
P0013,45+,Other/Non-binary,High School or less,Service/Office,US Northeast,Moderate Conservative,Low,Strongly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0014,45+,Male,High School or less,Service/Office,Global South,Liberal,High,Strongly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0015,18-24,Male,High School or less,Tech/IT,US South,Liberal,Very high,Strongly agree,Strongly agree,Somewhat not worried,Somewhat inactive,Low
P0016,18-24,Male,Bachelor’s,Construction/Outdoor,US Midwest,Conservative,Moderate,Neutral,Neutral,Neutral / not very worried,Somewhat inactive,High
P0017,18-24,Male,Bachelor’s,Service/Office,Global South,Moderate Conservative,Very low,Strongly agree,Neutral,Somewhat worried,Somewhat inactive,Low
P0018,25-34,Male,Bachelor’s,Service/Office,US South,Liberal,Low,Strongly agree,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0019,45+,Female,Master’s/PhD,Public sector,Global South,Liberal,High,Strongly agree,Strongly agree,Very worried,Neutral,Medium
P0020,45+,Male,Master’s/PhD,Service/Office,US West,Conservative,Very low,Slightly disagree,Slightly disagree,Very worried,Somewhat inactive,Medium
P0021,45+,Female,Bachelor’s,Education/Academic,US Northeast,Centrist,Moderate,Slightly disagree,Strongly agree,Not worried at all,Somewhat inactive,High
P0022,18-24,Female,Bachelor’s,Manufacturing/Industrial,US Midwest,Conservative,High,Slightly disagree,Slightly agree,Somewhat worried,Somewhat inactive,Medium
P0023,35-44,Other/Non-binary,High School or less,Tech/IT,US South,Moderate Liberal,Low,Strongly agree,Slightly agree,Neutral / not very worried,Somewhat inactive,High
P0024,35-44,Other/Non-binary,Master’s/PhD,Farming/Agriculture,US South,Moderate Liberal,Low,Neutral,Slightly disagree,Somewhat worried,Somewhat inactive,High
P0025,45+,Female,Bachelor’s,Environmental/NGO,Europe-North,Liberal,Moderate,Strongly agree,Neutral,Somewhat not worried,Somewhat inactive,High
P0026,18-24,Male,Bachelor’s,Manufacturing/Industrial,Europe-North,Moderate Conservative,High,Neutral,Strongly agree,Somewhat worried,Neutral,Low
P0027,45+,Male,Bachelor’s,Manufacturing/Industrial,US Northeast,Moderate Conservative,Moderate,Slightly agree,Neutral,Neutral / not very worried,Somewhat inactive,Medium
P0028,18-24,Male,Master’s/PhD,Public sector,Europe-North,Moderate Conservative,High,Strongly agree,Strongly agree,Somewhat worried,Neutral,Low
P0029,45+,Female,Master’s/PhD,Construction/Outdoor,US South,Liberal,Moderate,Slightly agree,Slightly agree,Somewhat worried,Somewhat inactive,High
P0030,45+,Female,Master’s/PhD,Education/Academic,Global South,Liberal,Moderate,Strongly agree,Slightly disagree,Neutral / not very worried,Somewhat inactive,Low
P0031,45+,Male,Master’s/PhD,Farming/Agriculture,Global South,Conservative,High,Strongly disagree,Strongly agree,Somewhat worried,Neutral,Low
